Date,Country,City,Specie,count,min (ppb),max (ppb),median (ppb)
1/1/2017,US,Los Angeles,o3,24,2,31,10
1/1/2017,CN,Shanghai,o3,188,1,39,11
1/1/2017,US,Manhattan,o3,24,3,28,16
1/1/2017,US,Jacksonville,o3,46,2,18,12
1/1/2017,CN,Beijing,o3,235,1,8,2
1/1/2017,US,Houston,o3,119,1,30,11
1/2/2017,US,Manhattan,o3,23,8,19,11
1/2/2017,CN,Beijing,o3,385,1,30,7
1/2/2017,US,Los Angeles,o3,24,1,34,12
1/2/2017,CN,Shanghai,o3,207,1,41,9
1/2/2017,US,Jacksonville,o3,48,4,15,11
1/2/2017,CN,Wuhan,o3,271,0,56,14
1/2/2017,US,Houston,o3,113,1,35,16
1/3/2017,US,Houston,o3,89,1,36,16
1/3/2017,CN,Wuhan,o3,387,0,50,8
1/3/2017,US,Los Angeles,o3,16,1,18,1
1/3/2017,CN,Shanghai,o3,201,3,46,27
1/3/2017,US,Manhattan,o3,23,9,23,19
1/3/2017,US,Jacksonville,o3,45,2,11,6
1/3/2017,CN,Beijing,o3,329,1,24,3
1/4/2017,CN,Wuhan,o3,289,0,22,2
1/4/2017,US,Manhattan,o3,24,2,24,19
1/4/2017,US,Houston,o3,112,1,15,7
1/4/2017,US,Los Angeles,o3,14,1,11,2
1/4/2017,US,Jacksonville,o3,47,1,15,9
1/4/2017,CN,Beijing,o3,324,1,15,3
1/4/2017,CN,Shanghai,o3,209,1,39,20
1/5/2017,CN,Shanghai,o3,212,19,44,32
1/5/2017,US,Jacksonville,o3,46,1,17,7
1/5/2017,US,Houston,o3,92,1,14,3
1/5/2017,CN,Beijing,o3,239,1,17,2
1/5/2017,US,Manhattan,o3,24,10,22,16
1/5/2017,CN,Wuhan,o3,379,0,69,4
1/5/2017,US,Los Angeles,o3,24,1,23,11
1/6/2017,US,Manhattan,o3,24,10,23,19
1/6/2017,CN,Shanghai,o3,208,4,31,18
1/6/2017,CN,Wuhan,o3,395,0,35,10
1/6/2017,US,Jacksonville,o3,46,0,17,8
1/6/2017,US,Los Angeles,o3,19,1,23,8
1/6/2017,CN,Beijing,o3,248,1,127,2
1/6/2017,US,Houston,o3,118,5,28,11
1/7/2017,CN,Beijing,o3,278,1,12,2
1/7/2017,US,Manhattan,o3,24,17,22,19
1/7/2017,CN,Shanghai,o3,174,1,36,20
1/7/2017,US,Houston,o3,115,1,32,24
1/7/2017,US,Los Angeles,o3,23,1,18,10
1/7/2017,CN,Wuhan,o3,391,0,23,6
1/8/2017,US,Los Angeles,o3,22,1,32,4
1/8/2017,CN,Beijing,o3,390,1,34,17
1/8/2017,US,Houston,o3,115,1,38,20
1/8/2017,CN,Wuhan,o3,391,1,43,18
1/8/2017,CN,Shanghai,o3,192,1,9,4
1/8/2017,US,Manhattan,o3,24,20,25,23
1/8/2017,US,Jacksonville,o3,39,8,17,11
1/9/2017,CN,Wuhan,o3,400,0,55,19
1/9/2017,US,Manhattan,o3,24,9,21,14
1/9/2017,US,Los Angeles,o3,24,1,25,15
1/9/2017,US,Jacksonville,o3,39,4,17,11
1/9/2017,CN,Shanghai,o3,216,1,36,25
1/9/2017,US,Houston,o3,117,1,36,21
1/9/2017,CN,Beijing,o3,395,1,107,18
1/10/2017,CN,Beijing,o3,401,1,34,19
1/10/2017,US,Houston,o3,104,2,34,27
1/10/2017,CN,Shanghai,o3,215,1,39,25
1/10/2017,US,Manhattan,o3,24,2,24,10
1/10/2017,CN,Wuhan,o3,374,1,49,24
1/10/2017,US,Los Angeles,o3,19,1,27,10
1/10/2017,US,Jacksonville,o3,43,2,18,8
1/11/2017,US,Jacksonville,o3,45,0,18,6
1/11/2017,US,Los Angeles,o3,23,7,31,22
1/11/2017,CN,Shanghai,o3,216,10,37,29
1/11/2017,US,Houston,o3,103,12,35,24
1/11/2017,US,Manhattan,o3,24,3,24,9
1/11/2017,CN,Wuhan,o3,387,0,33,10
1/11/2017,CN,Beijing,o3,333,0,32,4
1/12/2017,US,Houston,o3,119,3,39,24
1/12/2017,US,Jacksonville,o3,45,0,18,7
1/12/2017,US,Manhattan,o3,24,9,20,16
1/12/2017,CN,Beijing,o3,389,0,46,15
1/12/2017,CN,Wuhan,o3,374,0,42,16
1/12/2017,US,Los Angeles,o3,24,2,25,15
1/12/2017,CN,Shanghai,o3,204,1,34,8
1/13/2017,CN,Beijing,o3,419,2,48,27
1/13/2017,US,Jacksonville,o3,46,0,19,6
1/13/2017,US,Manhattan,o3,24,14,28,25
1/13/2017,US,Houston,o3,114,5,37,20
1/13/2017,CN,Wuhan,o3,326,0,45,3
1/13/2017,CN,Shanghai,o3,188,1,38,18
1/13/2017,US,Los Angeles,o3,21,1,19,6
1/14/2017,CN,Shanghai,o3,216,15,39,30
1/14/2017,CN,Wuhan,o3,205,1,36,14
1/14/2017,US,Houston,o3,92,4,36,23
1/14/2017,US,Los Angeles,o3,15,1,21,6
1/14/2017,CN,Beijing,o3,448,0,37,12
1/14/2017,US,Jacksonville,o3,48,1,16,9
1/14/2017,US,Manhattan,o3,23,4,27,15
1/15/2017,US,Houston,o3,92,6,31,21
1/15/2017,US,Los Angeles,o3,24,1,32,19
1/15/2017,US,Jacksonville,o3,43,1,16,9
1/15/2017,CN,Wuhan,o3,214,1,28,14
1/15/2017,US,Manhattan,o3,24,10,28,18
1/15/2017,CN,Shanghai,o3,210,3,34,28
1/15/2017,CN,Beijing,o3,438,0,28,9
1/16/2017,CN,Shanghai,o3,214,4,37,21
1/16/2017,US,Jacksonville,o3,47,0,15,6
1/16/2017,US,Manhattan,o3,24,2,16,9
1/16/2017,CN,Beijing,o3,432,0,16,4
1/16/2017,US,Los Angeles,o3,23,1,37,10
1/16/2017,US,Houston,o3,95,5,31,19
1/16/2017,CN,Wuhan,o3,255,1,42,12
1/17/2017,US,Los Angeles,o3,20,1,30,7
1/17/2017,US,Houston,o3,117,1,23,11
1/17/2017,CN,Beijing,o3,407,0,58,4
1/17/2017,CN,Shanghai,o3,212,2,31,11
1/17/2017,US,Jacksonville,o3,44,0,17,4
1/17/2017,US,Manhattan,o3,17,1,15,2
1/17/2017,CN,Wuhan,o3,386,0,43,11
1/18/2017,CN,Wuhan,o3,367,0,23,6
1/18/2017,CN,Shanghai,o3,213,2,42,23
1/18/2017,US,Los Angeles,o3,20,1,31,14
1/18/2017,US,Jacksonville,o3,42,0,15,3
1/18/2017,CN,Beijing,o3,422,0,27,8
1/18/2017,US,Manhattan,o3,24,7,17,14
1/18/2017,US,Houston,o3,96,1,22,6
1/19/2017,CN,Wuhan,o3,367,0,47,18
1/19/2017,CN,Beijing,o3,362,1,42,23
1/19/2017,CN,Shanghai,o3,214,4,43,23
1/19/2017,US,Jacksonville,o3,46,0,16,8
1/19/2017,US,Houston,o3,89,1,19,7
1/19/2017,US,Los Angeles,o3,18,5,32,23
1/19/2017,US,Manhattan,o3,24,1,19,11
1/20/2017,US,Manhattan,o3,24,1,16,5
1/20/2017,US,Los Angeles,o3,24,7,34,21
1/20/2017,US,Houston,o3,114,1,36,17
1/20/2017,US,Jacksonville,o3,40,1,15,8
1/20/2017,CN,Shanghai,o3,216,8,42,28
1/20/2017,CN,Wuhan,o3,380,4,48,22
1/20/2017,CN,Beijing,o3,448,1,34,20
1/21/2017,CN,Shanghai,o3,207,1,42,23
1/21/2017,US,Manhattan,o3,20,1,6,3
1/21/2017,CN,Beijing,o3,404,1,44,23
1/21/2017,CN,Wuhan,o3,333,0,45,14
1/21/2017,US,Los Angeles,o3,24,7,35,29
1/21/2017,US,Houston,o3,111,1,37,15
1/22/2017,CN,Beijing,o3,442,1,33,12
1/22/2017,US,Los Angeles,o3,24,6,33,19
1/22/2017,CN,Wuhan,o3,324,0,48,9
1/22/2017,US,Manhattan,o3,14,2,4,3
1/22/2017,CN,Shanghai,o3,212,1,37,23
1/22/2017,US,Houston,o3,120,8,37,30
1/23/2017,US,Jacksonville,o3,46,11,20,12
1/23/2017,CN,Beijing,o3,398,1,31,9
1/23/2017,CN,Shanghai,o3,214,2,44,29
1/23/2017,US,Los Angeles,o3,24,1,37,30
1/23/2017,CN,Wuhan,o3,347,0,50,18
1/23/2017,US,Houston,o3,106,2,42,23
1/23/2017,US,Manhattan,o3,13,22,28,23
1/24/2017,CN,Shanghai,o3,216,3,50,32
1/24/2017,US,Los Angeles,o3,19,1,31,11
1/24/2017,CN,Beijing,o3,242,1,25,4
1/24/2017,US,Manhattan,o3,24,12,28,23
1/24/2017,US,Jacksonville,o3,44,2,17,12
1/24/2017,US,Houston,o3,94,2,45,28
1/24/2017,CN,Wuhan,o3,380,2,49,23
1/25/2017,US,Los Angeles,o3,16,1,33,17
1/25/2017,CN,Shanghai,o3,216,21,50,36
1/25/2017,US,Houston,o3,96,4,41,23
1/25/2017,US,Jacksonville,o3,46,0,21,14
1/25/2017,US,Manhattan,o3,24,3,28,15
1/25/2017,CN,Beijing,o3,294,1,30,4
1/25/2017,CN,Wuhan,o3,399,0,57,17
1/26/2017,CN,Shanghai,o3,213,5,57,34
1/26/2017,CN,Beijing,o3,125,1,32,2
1/26/2017,US,Manhattan,o3,24,2,25,12
1/26/2017,US,Houston,o3,87,1,35,19
1/26/2017,US,Jacksonville,o3,45,2,17,10
1/26/2017,US,Los Angeles,o3,18,1,30,4
